Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,16,6,10,.375,-5.34,-0.74,,1,4,,3,3,,1,6,,1201,1219,,73.5,100.6,.415,.272,.525,46.3,52.5,10.6,3.7,.479,15.5,25.3,.299
2,Air Force,16,7,9,.438,-4.01,-3.82,,0,4,,4,5,,3,3,,1080,1083,,64.5,103.1,.339,.441,.561,48.8,62.9,11.0,14.1,.536,17.4,24.4,.232
3,Akron,17,13,4,.765,5.62,-0.65,,5,0,,8,0,,4,1,,1311,1116,,67.3,113.7,.327,.433,.579,53.2,54.7,9.6,7.3,.551,15.0,32.2,.236
4,Alabama,17,12,5,.706,24.91,8.62,,4,0,,8,1,,2,1,,1534,1257,,72.3,124.7,.382,.481,.623,54.6,52.8,10.4,11.3,.586,14.2,35.2,.300
5,Alabama A&M,18,3,15,.167,-17.75,-3.52,,2,3,,1,4,,2,9,,1244,1500,,72.5,94.7,.453,.271,.506,47.9,43.2,10.3,11.1,.453,19.6,31.7,.323
6,Alabama State,18,9,9,.500,-8.20,-1.07,,4,1,,4,2,,2,7,,1275,1267,,71.4,98.6,.265,.364,.477,49.8,45.6,13.0,11.9,.441,13.1,31.2,.192
7,Albany (NY),17,10,7,.588,-4.93,-6.37,,2,0,,6,0,,4,6,,1329,1267,,74.5,104.9,.330,.356,.537,51.8,48.0,11.8,7.5,.504,16.5,33.8,.234
8,Alcorn State,16,2,14,.125,-14.42,3.58,,1,2,,1,0,,1,14,,1095,1357,,70.4,97.2,.333,.248,.485,47.9,40.1,10.4,5.3,.450,14.5,31.6,.223
9,American,18,10,8,.556,-7.36,-7.19,,4,1,,6,1,,4,7,,1317,1291,,65.1,111.7,.274,.461,.570,52.3,57.2,9.5,5.8,.547,14.7,30.4,.192
10,Appalachian State,17,13,4,.765,5.99,-1.81,,4,1,,6,0,,4,3,,1304,1073,,69.5,108.8,.283,.362,.544,53.6,52.7,9.3,16.3,.523,13.4,30.4,.187
11,Arizona,16,12,4,.750,29.34,10.03,,3,2,,8,0,,2,2,,1459,1150,,75.7,118.5,.332,.308,.583,59.1,58.4,12.0,9.2,.555,13.8,37.6,.242
12,Arizona State,16,10,6,.625,6.70,8.20,,4,1,,7,0,,2,2,,1108,1132,,71.8,96.4,.375,.381,.507,45.0,50.1,11.7,11.8,.478,13.9,20.2,.238
13,Arkansas,17,10,7,.588,7.18,6.35,,1,3,,9,2,,0,2,,1333,1319,,72.9,106.0,.474,.339,.555,49.8,44.3,7.2,16.4,.510,14.6,25.7,.340
14,Arkansas State,17,7,10,.412,-1.45,-0.98,,3,2,,5,2,,1,7,,1342,1350,,71.2,110.9,.329,.460,.553,51.0,56.3,7.6,10.1,.523,14.9,33.1,.234
15,Arkansas-Pine Bluff,16,6,10,.375,-17.42,-0.58,,1,2,,4,3,,2,7,,1334,1374,,76.7,108.8,.342,.473,.577,46.8,57.1,9.8,6.2,.540,15.4,24.7,.262
