Rk,School,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,74.0,0.5,-0.016,-0.043,-0.021,-6.599999999999994,9.1,1.5999999999999996,-4.300000000000001,-0.028,-3.200000000000001,-5.0,0.0
2,Air Force,65.9,2.5,0.012,0.08,0.0339999999999999,-2.200000000000003,13.5,2.9000000000000004,4.300000000000001,0.043,0.0,-4.5,-0.001
3,Akron,67.6,16.60000000000001,0.084,0.1,0.0719999999999999,9.200000000000005,5.5,-2.1000000000000014,-0.1999999999999993,0.066,-0.3999999999999986,7.399999999999999,0.0759999999999999
4,Alabama,73.3,23.200000000000003,0.031,0.093,0.0929999999999999,9.400000000000006,8.0,1.5999999999999996,0.5,0.0949999999999999,-1.4000000000000004,7.800000000000001,0.0479999999999999
5,Alabama A&M,74.6,-24.200000000000003,-0.0329999999999999,-0.1549999999999999,-0.1109999999999999,-8.0,-18.700000000000003,-1.799999999999999,1.1999999999999993,-0.1319999999999999,1.8000000000000007,-6.200000000000003,-0.0239999999999999
6,Alabama State,72.2,-1.5999999999999943,-0.1519999999999999,-0.121,-0.055,0.7999999999999972,-13.799999999999995,3.6999999999999993,3.6999999999999993,-0.0489999999999999,-4.200000000000001,3.899999999999999,-0.1029999999999999
7,Albany (NY),74.9,3.200000000000003,-0.0139999999999999,0.072,0.023,3.200000000000003,2.0,1.200000000000001,-2.5,0.028,2.0,2.699999999999996,-0.008
8,Alcorn State,71.4,-27.5,-0.066,-0.274,-0.137,-6.799999999999997,-29.200000000000003,1.0,-5.199999999999999,-0.1439999999999999,0.1999999999999993,-4.200000000000003,-0.0699999999999999
9,American,65.9,-1.0999999999999943,-0.0279999999999999,0.0399999999999999,-0.015,4.400000000000006,9.5,1.8999999999999997,-2.2,-0.019,0.9000000000000004,5.0,-0.0129999999999999
10,Appalachian State,69.9,21.599999999999994,0.0299999999999999,0.012,0.098,6.200000000000003,9.1,2.1,12.099999999999998,0.105,-2.299999999999999,3.200000000000003,0.024
11,Arizona,76.4,24.3,0.1099999999999999,-0.09,0.0689999999999999,17.400000000000006,6.899999999999999,2.8999999999999986,2.6,0.059,-3.6000000000000014,16.400000000000002,0.097
12,Arizona State,72.0,-2.5999999999999943,0.15,-0.016,-0.002,-9.799999999999995,-5.899999999999999,2.6,4.300000000000001,-0.006,-2.799999999999999,-10.3,0.0789999999999999
13,Arkansas,72.7,8.0,0.1089999999999999,-0.0229999999999999,0.0639999999999999,4.200000000000003,-4.0,-1.3000000000000007,12.4,0.062,1.5,0.5,0.0879999999999999
14,Arkansas State,71.7,-4.900000000000006,-0.134,0.178,-0.022,0.7999999999999972,10.6,-4.500000000000001,-4.1,-0.001,3.200000000000001,2.6000000000000014,-0.12
15,Arkansas-Pine Bluff,77.4,-3.0999999999999943,-0.015,0.0629999999999999,-0.001,-6.400000000000006,-5.800000000000004,0.200000000000001,-6.1,-0.0069999999999998,-0.3000000000000007,-6.300000000000001,0.004
16,Army,64.8,-3.1000000000000085,-0.068,0.082,-0.036,4.400000000000006,3.6000000000000014,-1.299999999999999,1.1999999999999993,-0.0129999999999999,1.3000000000000007,7.300000000000001,-0.086
17,Auburn,71.3,25.5,0.025,0.036,0.0829999999999999,10.400000000000006,20.200000000000003,1.0999999999999996,8.5,0.095,-4.5,9.4,0.0169999999999999
18,Austin Peay,65.9,2.799999999999997,-0.131,-0.0359999999999999,-0.008,-1.7999999999999972,-11.4,5.6,4.499999999999999,0.01,-4.100000000000001,-0.3000000000000007,-0.104
19,Ball State,68.0,8.5,0.0929999999999999,0.0199999999999999,0.0239999999999999,5.799999999999997,-4.400000000000006,-0.0999999999999996,-0.3999999999999994,0.012,-0.8000000000000007,5.799999999999997,0.079
20,Baylor,70.2,28.200000000000003,0.079,0.0419999999999999,0.1099999999999999,11.799999999999995,3.699999999999996,0.5999999999999996,1.8000000000000007,0.12,-2.0,10.200000000000005,0.057
21,Bellarmine,68.2,-6.5,-0.0269999999999999,-0.0319999999999999,-0.023,-4.799999999999997,5.799999999999997,1.0999999999999996,-3.1999999999999997,-0.033,-0.1999999999999993,-4.5,0.003
22,Belmont,73.6,1.4000000000000057,0.065,-0.002,0.0399999999999999,-3.5999999999999943,-1.5,1.4000000000000004,-0.4999999999999991,0.041,1.3000000000000007,-6.300000000000001,0.041
23,Bethune-Cookman,75.4,-2.200000000000003,-0.149,-0.068,-0.043,-3.0,-9.800000000000004,4.800000000000001,2.1,-0.0329999999999999,-4.400000000000002,-1.6000000000000014,-0.11
24,Binghamton,70.3,6.899999999999992,0.064,-0.081,0.045,7.400000000000006,7.5,-1.7999999999999998,2.0,0.051,2.1000000000000014,4.5,0.034
25,Boise State,68.7,14.900000000000006,0.0499999999999999,0.0499999999999999,0.044,10.0,3.299999999999997,1.200000000000001,-2.3000000000000007,0.046,-1.6999999999999993,9.4,0.033
26,Boston College,69.9,10.599999999999994,0.0299999999999999,-0.026,0.027,3.4000000000000057,-0.3999999999999986,1.9999999999999991,2.8999999999999986,0.03,-3.700000000000001,3.1000000000000014,0.0159999999999999
27,Boston University,67.7,-0.7999999999999972,-0.061,-0.0079999999999999,-0.026,5.599999999999994,2.4000000000000057,-0.6999999999999993,-0.5,-0.018,0.4000000000000003,8.200000000000003,-0.0559999999999999
28,Bowling Green State,71.6,11.599999999999994,0.1389999999999999,0.08,0.048,3.799999999999997,1.2999999999999972,-0.1999999999999993,-1.8000000000000007,0.0389999999999999,-1.4000000000000004,2.900000000000002,0.1
29,Bradley,67.8,6.799999999999997,-0.0479999999999999,0.0529999999999999,0.049,-0.2000000000000028,5.299999999999997,-0.4000000000000003,3.6000000000000005,0.068,0.5999999999999996,-1.599999999999998,-0.047
30,Brigham Young,70.9,40.60000000000001,-0.0269999999999999,0.1519999999999999,0.13,18.40000000000001,18.500000000000007,1.9000000000000004,2.6,0.1389999999999999,-5.199999999999999,17.900000000000002,-0.005
31,Brown,69.2,-2.5,0.0349999999999999,0.024,-0.031,4.599999999999994,-0.5,0.200000000000001,1.4000000000000004,-0.032,0.3000000000000007,7.0,0.01
32,Bryant,76.3,3.700000000000003,-0.0679999999999999,0.078,0.06,-9.400000000000006,3.200000000000003,-0.200000000000001,4.799999999999999,0.082,0.5,-12.599999999999998,-0.0569999999999999
33,Bucknell,64.4,-13.0,0.009,0.02,-0.0329999999999999,-5.200000000000003,-5.600000000000001,-0.7999999999999989,-1.5999999999999996,-0.045,3.9,-5.299999999999997,0.022
34,Buffalo,71.5,-15.200000000000005,0.032,0.0539999999999999,-0.053,3.200000000000003,-4.700000000000003,-3.4000000000000004,1.5999999999999996,-0.068,6.499999999999998,3.799999999999997,0.0339999999999999
35,Butler,70.0,14.300000000000011,0.061,-0.018,0.0639999999999999,2.200000000000003,2.700000000000003,-1.0,-0.1999999999999993,0.052,-2.0,0.1999999999999993,0.07
36,Cal Poly,66.2,-12.400000000000006,-0.0889999999999999,-0.039,-0.049,-8.0,-6.899999999999999,-0.0999999999999996,3.1,-0.0509999999999999,1.0,-7.299999999999997,-0.06
37,Cal State Bakersfield,66.9,-1.5999999999999943,-0.078,-0.129,-0.045,1.5999999999999943,-12.0,3.0,4.5,-0.037,-2.3000000000000007,3.0,-0.067
38,Cal State Fullerton,67.8,-0.1000000000000085,0.068,-0.061,0.01,-3.4000000000000057,-15.0,0.3000000000000007,-0.7999999999999989,0.001,-0.3000000000000007,-3.900000000000002,0.055
39,Cal State Northridge,76.1,14.400000000000006,-0.027,-0.193,0.052,16.599999999999994,-8.599999999999994,-0.0999999999999996,2.6000000000000005,0.07,0.1000000000000014,14.499999999999996,-0.031
40,California,69.9,-2.800000000000012,-0.026,0.0559999999999999,-0.019,5.400000000000006,0.8999999999999986,-1.0,-1.0,-0.016,2.3000000000000007,6.0,-0.0279999999999999
41,California Baptist,67.7,6.5,0.1559999999999999,0.083,0.003,9.200000000000005,1.2999999999999972,-0.3999999999999994,-2.5,-0.003,-0.0999999999999996,11.499999999999996,0.0879999999999999
42,Campbell,65.5,6.900000000000006,0.124,-0.0329999999999999,0.057,-0.4000000000000057,-0.4000000000000057,0.0,-0.5,0.0539999999999999,-0.1000000000000014,-3.6999999999999993,0.0879999999999999
43,Canisius,71.5,4.700000000000003,-0.025,0.069,0.042,2.0,7.200000000000003,-0.5,-2.8000000000000007,0.05,2.1999999999999997,0.7999999999999972,-0.016
44,Central Arkansas,71.3,-5.900000000000006,-0.0819999999999999,-0.006,-0.036,-2.4000000000000057,4.399999999999999,0.2999999999999989,0.5,-0.041,0.1999999999999993,-1.5,-0.0419999999999999
45,Central Connecticut State,70.1,9.0,-0.0109999999999999,-0.006,0.026,-1.5999999999999943,0.2999999999999971,1.1999999999999993,6.299999999999999,0.023,-3.9999999999999982,-2.200000000000003,0.006
46,Central Florida,72.2,19.69999999999999,-0.003,0.002,0.04,9.599999999999994,-4.899999999999999,2.1,7.800000000000001,0.0559999999999999,-5.800000000000001,10.599999999999998,-0.0189999999999999
47,Central Michigan,69.2,-15.599999999999994,-0.0369999999999999,-0.072,-0.0799999999999999,-6.200000000000003,-13.5,0.6999999999999993,1.0,-0.068,0.1000000000000014,-3.3000000000000007,-0.066
