Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,13,5,8,.385,-3.75,0.08,,0,2,,2,3,,1,4,,993,988,,74.0,101.8,.429,.332,.552,53.3,45.0,9.3,7.7,.513,18.8,31.1,.301
2,Air Force,13,7,6,.538,-4.66,-6.35,,0,1,,4,4,,3,1,,890,868,,65.9,100.5,.349,.365,.530,51.1,50.0,8.9,9.6,.495,17.5,28.4,.246
3,Akron,13,9,4,.692,5.47,1.28,,1,0,,5,0,,3,1,,995,848,,67.6,95.6,.243,.349,.508,45.4,49.1,11.3,6.6,.487,16.9,25.9,.160
4,Alabama,13,8,5,.615,25.99,8.99,,,,,6,1,,0,1,,1207,986,,73.3,103.5,.360,.373,.528,45.3,45.2,8.9,10.7,.489,14.5,28.2,.257
5,Alabama A&M,13,1,12,.077,-17.93,0.31,,,,,1,2,,0,9,,910,1147,,74.6,117.2,.484,.422,.604,54.0,61.1,12.7,8.4,.567,16.7,35.6,.352
6,Alabama State,13,5,8,.385,-7.41,5.59,,,,,3,1,,0,7,,948,963,,72.2,101.6,.408,.473,.536,49.6,59.4,8.3,8.4,.495,17.1,28.1,.290
7,Albany (NY),15,8,7,.533,-5.79,-5.58,,,,,5,0,,3,6,,1155,1119,,74.9,99.6,.351,.284,.513,48.4,46.1,10.6,10.0,.475,15.2,29.6,.246
8,Alcorn State,13,1,12,.077,-14.92,7.00,,,,,1,0,,0,12,,888,1143,,71.4,123.2,.413,.520,.624,53.4,69.0,9.3,11.2,.596,14.4,32.6,.300
9,American,14,7,7,.500,-8.44,-5.36,,1,0,,5,1,,2,6,,1033,1044,,65.9,112.1,.304,.434,.580,47.8,49.7,7.8,8.0,.560,14.1,26.0,.209
10,Appalachian State,13,10,3,.769,5.62,-2.11,,1,0,,6,0,,1,2,,1022,823,,69.9,89.7,.261,.372,.449,46.9,44.9,7.5,5.3,.419,14.1,26.4,.172
11,Arizona,13,10,3,.769,27.82,8.90,,1,1,,6,0,,2,1,,1200,954,,76.4,94.2,.255,.400,.516,41.3,52.7,9.3,6.5,.492,17.3,20.8,.173
12,Arizona State,13,8,5,.615,4.29,6.14,,2,0,,5,0,,2,1,,883,907,,72.0,97.0,.228,.398,.500,54.9,55.9,8.8,6.0,.475,16.9,30.3,.158
13,Arkansas,13,9,4,.692,9.90,3.98,,,,,8,1,,0,0,,1070,993,,72.7,103.0,.375,.360,.516,47.9,48.4,8.8,4.0,.477,13.3,27.8,.261
14,Arkansas State,13,4,9,.308,-3.69,-0.22,,0,1,,2,1,,1,7,,981,1026,,71.7,110.0,.436,.279,.545,49.6,44.6,11.8,14.4,.496,12.2,30.5,.326
15,Arkansas-Pine Bluff,13,5,8,.385,-17.73,3.71,,,,,4,1,,1,7,,1130,1161,,77.4,115.3,.343,.406,.592,53.2,62.7,9.1,12.5,.564,15.4,32.1,.249
16,Army,14,4,10,.286,-13.60,-7.60,,0,1,,3,4,,1,6,,847,876,,64.8,95.7,.319,.379,.515,47.8,52.9,11.7,10.8,.481,16.3,22.8,.223
17,Auburn,13,11,2,.846,19.25,1.10,,,,,7,0,,0,1,,1103,867,,71.3,93.5,.372,.357,.493,44.8,44.8,9.0,6.7,.442,16.8,26.5,.277
18,Austin Peay,15,7,8,.467,-5.48,0.44,,,,,5,1,,1,6,,1009,981,,65.9,99.3,.369,.416,.515,50.9,56.6,7.0,6.7,.475,17.1,29.7,.262
19,Ball State,13,8,5,.615,-6.55,-4.09,,0,1,,7,0,,1,4,,969,894,,68.0,101.0,.281,.338,.540,47.1,50.2,8.5,8.1,.513,16.5,25.1,.199
20,Baylor,13,11,2,.846,21.03,1.70,,,,,8,0,,0,0,,1159,901,,70.2,98.7,.290,.327,.522,44.1,50.2,9.6,9.6,.488,16.8,29.0,.212
21,Bellarmine,15,4,11,.267,-8.04,5.38,,,,,3,2,,1,9,,1027,1094,,68.2,106.8,.256,.418,.547,52.4,52.5,8.1,10.1,.521,15.0,29.2,.184
22,Belmont,14,9,5,.643,-1.23,0.24,,2,1,,5,0,,3,4,,1117,1102,,73.6,106.1,.254,.389,.539,51.8,53.3,9.9,8.2,.514,14.8,30.1,.181
23,Bethune-Cookman,13,5,8,.385,-14.81,-3.08,,,,,4,0,,1,6,,942,963,,75.4,98.3,.467,.396,.545,51.5,54.7,12.2,6.4,.497,22.3,34.1,.337
24,Binghamton,13,8,5,.615,-9.14,-4.87,,,,,6,0,,2,5,,985,922,,70.3,100.9,.284,.397,.504,46.3,47.3,9.6,10.6,.474,12.7,26.3,.196
25,Boise State,13,9,4,.692,11.57,6.12,,,,,7,0,,0,1,,986,853,,68.7,95.5,.311,.331,.515,45.0,45.6,8.1,9.4,.481,16.4,22.5,.222
26,Boston College,13,9,4,.692,9.07,1.61,,0,2,,6,2,,2,0,,1031,934,,69.9,101.7,.259,.373,.533,48.3,50.0,7.7,8.3,.497,15.9,26.0,.203
27,Boston University,14,5,9,.357,-8.58,-4.89,,0,1,,3,2,,2,7,,917,924,,67.7,97.5,.371,.412,.526,47.2,51.3,10.7,8.0,.490,15.5,19.4,.259
28,Bowling Green State,13,10,3,.769,-2.39,-6.03,,1,0,,7,1,,1,1,,980,871,,71.6,92.7,.225,.320,.486,48.1,41.2,9.1,9.8,.465,15.6,24.4,.146
29,Bradley,14,9,5,.643,4.98,1.60,,1,2,,5,2,,2,2,,1020,954,,67.8,98.8,.362,.363,.501,50.1,44.0,11.3,6.8,.460,15.9,31.4,.255
30,Brigham Young,13,12,1,.923,28.04,-0.80,,,,,9,0,,0,1,,1175,800,,70.9,86.8,.230,.341,.471,40.8,48.4,8.1,4.9,.446,16.7,19.8,.153
31,Brown,15,4,11,.267,-7.94,-3.08,,,,,2,3,,1,6,,1042,1069,,69.2,101.2,.325,.364,.531,47.7,51.3,9.2,11.4,.503,15.5,24.7,.219
32,Bryant,15,8,7,.533,-4.14,-0.14,,,,,4,1,,3,6,,1193,1150,,76.3,98.8,.348,.344,.486,54.7,49.9,9.4,9.3,.447,13.9,31.9,.237
33,Bucknell,14,4,10,.286,-9.26,-0.90,,1,0,,2,4,,2,6,,875,992,,64.4,110.0,.291,.432,.564,52.6,60.1,10.6,11.6,.539,14.6,29.9,.204
34,Buffalo,13,2,11,.154,-12.34,-0.09,,1,0,,1,5,,1,4,,883,1024,,71.5,110.2,.300,.368,.560,48.4,55.0,12.5,10.1,.537,13.4,28.6,.203
35,Butler,14,10,4,.714,13.60,4.45,,1,2,,8,0,,0,3,,1151,1006,,70.0,99.1,.216,.385,.500,48.9,47.5,9.8,10.5,.480,14.8,30.6,.144
36,Cal Poly,14,4,10,.286,-11.61,-1.14,,0,2,,3,2,,0,7,,900,1018,,66.2,107.0,.427,.336,.545,54.0,44.6,9.0,8.4,.504,15.7,33.4,.304
37,Cal State Bakersfield,13,5,8,.385,-9.26,-0.62,,0,2,,4,1,,0,6,,905,919,,66.9,105.6,.387,.383,.553,49.2,52.9,7.1,5.9,.516,16.8,32.2,.276
38,Cal State Fullerton,14,8,6,.571,-6.55,0.20,,1,1,,4,1,,3,4,,949,950,,67.8,99.2,.320,.393,.515,51.7,52.5,9.7,9.2,.486,17.2,31.3,.215
39,Cal State Northridge,14,11,3,.786,-0.78,-7.78,,2,0,,5,1,,6,2,,1129,976,,76.1,91.6,.373,.441,.493,41.7,56.3,11.4,7.8,.448,16.9,22.8,.264
40,California,14,4,10,.286,1.98,3.98,,0,3,,4,4,,0,2,,1060,1088,,69.9,108.4,.335,.381,.560,47.3,46.1,9.4,8.9,.524,13.8,25.8,.251
41,California Baptist,13,8,5,.615,-1.43,-4.16,,1,1,,6,3,,2,2,,909,852,,67.7,96.8,.274,.286,.511,45.4,44.2,7.6,7.8,.481,15.2,22.3,.194
42,Campbell,13,6,7,.462,-10.90,-5.90,,,,,6,2,,0,5,,890,831,,65.5,96.6,.279,.409,.502,50.2,53.2,10.3,9.1,.468,17.1,29.7,.201
43,Canisius,12,6,6,.500,0.99,0.99,,1,1,,3,1,,1,4,,924,884,,71.5,103.0,.336,.315,.512,49.0,44.5,9.4,11.0,.482,14.2,32.0,.224
44,Central Arkansas,16,4,12,.250,-16.48,-3.91,,,,,3,4,,1,8,,1150,1217,,71.3,106.7,.352,.402,.546,51.2,50.0,11.3,8.8,.517,16.0,32.9,.241
45,Central Connecticut State,13,6,7,.462,-7.49,-4.22,,,,,3,2,,3,5,,955,873,,70.1,95.8,.292,.341,.513,50.8,56.0,10.3,6.9,.488,18.4,29.6,.193
46,Central Florida,12,9,3,.750,11.62,-2.80,,,,,7,2,,0,1,,943,770,,72.2,87.9,.388,.368,.494,45.2,52.0,11.3,8.3,.443,20.8,24.8,.284
47,Central Michigan,13,5,8,.385,-14.63,-0.96,,0,1,,3,2,,1,5,,849,989,,69.2,110.0,.307,.406,.573,53.1,58.2,9.3,8.6,.537,16.9,32.6,.240
48,Charleston Southern,14,4,10,.286,-16.44,-0.62,,0,1,,4,3,,0,7,,982,1056,,68.5,110.1,.323,.298,.540,52.0,40.9,10.2,5.7,.506,11.9,30.2,.234
49,Charlotte,13,6,7,.462,4.60,4.35,,0,1,,5,1,,0,4,,878,828,,63.4,99.4,.276,.364,.515,50.3,47.7,8.4,8.3,.479,15.3,26.9,.207
50,Chattanooga,14,8,6,.571,-5.73,-3.81,,0,1,,6,1,,2,5,,1099,1016,,69.6,102.4,.275,.421,.518,47.0,49.7,9.0,10.8,.496,14.0,26.7,.180
51,Chicago State,21,7,14,.333,-9.46,-2.61,,,,,3,5,,3,8,,1332,1476,,66.3,105.3,.359,.361,.556,53.5,51.0,10.1,8.7,.525,18.8,35.3,.251
52,Cincinnati,13,11,2,.846,15.52,-0.71,,,,,10,0,,1,1,,1067,856,,70.1,93.0,.275,.350,.499,40.8,49.7,7.9,10.5,.460,14.9,19.4,.207
53,Clemson,13,11,2,.846,17.26,6.18,,1,1,,6,0,,2,2,,1069,925,,69.6,102.2,.323,.410,.513,45.9,46.4,9.4,6.3,.475,11.9,24.3,.234
