Rk,School,W-L%,SRS,SOS,FG%,3PA,3P%,FT%,PPG,Big10,Big12,ACC,SEC,BigEast,BlueBlood,Championships,Conf_W-L%,Home_W-L%,Away_W-L%,3P-G,3PA-G,FG-G,FGA-G,FT-G,FTA-G,ORB-G,TRB-G,AST-G,STL-G,BLK-G,TOV-G,PF-G
1,Abilene Christian,0.375,-5.34,-0.74,-0.024,-40,-0.006,0.008,-2,0,0,0,0,0,0,0,0.2,0.5,0.14285714285714285,-0.9375,-2.5,-0.3125,2.5,0.4375,0.3125,-1.25,-5.3125,1.375,1.3125,-2.25,-2.9375,0.3125
2,Air Force,0.438,-4.01,-3.82,0.017,48,0.011,-0.0319999999999999,-1,0,0,0,0,0,0,0,0.0,0.4444444444444444,0.5,1.3125,3.0,0.0625,-1.8125,-1.625,-1.5,-1.9375,-1.5,2.5,1.5,1.6875,0.25,-0.3125
3,Akron,0.765,5.62,-0.65,0.0439999999999999,66,0.0399999999999999,0.0609999999999999,11,0,0,0,0,0,0,0,1.0,1.0,0.8,2.235294117647059,3.8823529411764706,2.6470588235294117,0.23529411764705882,3.9411764705882355,4.235294117647059,0.7647058823529411,4.411764705882353,2.823529411764706,-0.23529411764705882,0.35294117647058826,-1.4705882352941178,-1.7058823529411764
4,Alabama,0.706,24.91,8.62,0.066,114,0.082,0.073,16,0,0,0,1,0,0,0,1.0,0.8888888888888888,0.6666666666666666,4.529411764705882,6.705882352941177,4.294117647058823,0.5882352941176471,3.176470588235294,2.0588235294117645,1.2352941176470589,6.647058823529412,4.647058823529412,0.5294117647058824,0.8235294117647058,-0.17647058823529413,-1.7647058823529411
5,Alabama A&M,0.167,-17.75,-3.52,-0.046,-152,-0.095,-0.021,-15,0,0,0,0,0,0,0,0.4,0.2,0.18181818181818182,-4.666666666666667,-8.444444444444445,-3.7777777777777777,-2.611111111111111,-2.0,-2.0,-1.0555555555555556,-3.111111111111111,-5.555555555555555,-2.111111111111111,0.4444444444444444,2.888888888888889,1.5
6,Alabama State,0.5,-8.2,-1.07,-0.0289999999999999,-13,-0.018,0.015,0,0,0,0,0,0,0,0,0.8,0.6666666666666666,0.2222222222222222,-0.6666666666666666,-0.7222222222222222,2.2222222222222223,10.0,-3.3333333333333335,-5.055555555555555,3.388888888888889,-0.3333333333333333,-1.4444444444444444,3.2777777777777777,-0.3333333333333333,-3.8333333333333335,3.888888888888889
7,Albany (NY),0.588,-4.93,-6.37,0.006,87,0.0559999999999999,0.004,3,0,0,0,0,0,0,0,1.0,1.0,0.4,2.6470588235294117,5.117647058823529,0.8235294117647058,1.0,-0.6470588235294118,-1.0588235294117647,1.1176470588235294,2.7058823529411766,0.9411764705882353,1.2352941176470589,-0.8823529411764706,1.1764705882352942,2.411764705882353
8,Alcorn State,0.125,-14.42,3.58,-0.07,-234,-0.068,-0.0599999999999999,-17,0,0,0,0,0,0,0,0.3333333333333333,1.0,0.06666666666666667,-6.625,-14.625,-3.375,1.875,-3.0,-2.4375,0.75,-3.0625,-8.375,0.75,-3.5625,0.0625,0.6875
9,American,0.556,-7.36,-7.19,-0.002,34,-0.008,0.0299999999999999,1,0,0,0,0,0,0,0,0.8,0.8571428571428571,0.36363636363636365,0.5,1.8888888888888888,0.6666666666666666,1.6111111111111112,-0.5,-1.4444444444444444,1.2777777777777777,3.0,2.0555555555555554,1.2777777777777777,-0.8333333333333334,0.4444444444444444,1.0
10,Appalachian State,0.765,5.99,-1.81,0.1,-4,0.016,-0.013,13,0,0,0,0,0,0,0,0.8,1.0,0.5714285714285714,0.29411764705882354,-0.23529411764705882,5.882352941176471,-1.0,1.5294117647058822,2.588235294117647,-0.29411764705882354,5.588235294117647,5.0588235294117645,-0.11764705882352941,4.705882352941177,-0.6470588235294118,-1.411764705882353
