Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,13,5,8,.385,-3.75,0.08,,0,2,,2,3,,1,4,,993,988,,525,340,744,.457,84,247,.340,224,319,.702,141,503,153,90,43,207,267
2,Air Force,13,7,6,.538,-4.66,-6.35,,0,1,,4,4,,3,1,,890,868,,525,304,702,.433,87,256,.340,173,245,.706,124,427,152,77,36,173,235
3,Akron,13,9,4,.692,5.47,1.28,,1,0,,5,0,,3,1,,995,848,,525,322,748,.430,84,261,.322,120,182,.659,118,398,158,100,27,170,231
4,Alabama,13,8,5,.615,25.99,8.99,,,,,6,1,,0,1,,1207,986,,520,343,798,.430,95,298,.319,205,287,.714,141,433,155,85,47,158,268
5,Alabama A&M,13,1,12,.077,-17.93,0.31,,,,,1,2,,0,9,,910,1147,,525,373,772,.483,129,326,.396,272,374,.727,164,524,228,124,47,190,271
6,Alabama State,13,5,8,.385,-7.41,5.59,,,,,3,1,,0,7,,948,963,,525,313,752,.416,119,356,.334,218,307,.710,137,523,186,79,48,185,196
7,Albany (NY),15,8,7,.533,-5.79,-5.58,,,,,5,0,,3,6,,1155,1119,,600,408,935,.436,73,266,.274,230,328,.701,165,532,188,119,60,196,241
8,Alcorn State,13,1,12,.077,-14.92,7.00,,,,,1,0,,0,12,,888,1143,,520,377,766,.492,159,398,.399,230,316,.728,141,497,260,86,66,154,237
9,American,14,7,7,.500,-8.44,-5.36,,1,0,,5,1,,2,6,,1033,1044,,565,376,786,.478,128,341,.375,164,239,.686,117,437,187,73,34,148,229
10,Appalachian State,13,10,3,.769,5.62,-2.11,,1,0,,6,0,,1,2,,1022,823,,525,296,815,.363,91,303,.300,140,213,.657,147,487,133,69,27,150,210
11,Arizona,13,10,3,.769,27.82,8.90,,1,1,,6,0,,2,1,,1200,954,,530,349,825,.423,113,330,.342,143,210,.681,104,405,184,94,39,194,260
12,Arizona State,13,8,5,.615,4.29,6.14,,2,0,,5,0,,2,1,,883,907,,520,340,819,.415,98,326,.301,129,187,.690,155,556,190,82,28,185,238
13,Arkansas,13,9,4,.692,9.90,3.98,,,,,8,1,,0,0,,1070,993,,530,341,817,.417,98,294,.333,213,306,.696,142,451,165,85,20,147,286
14,Arkansas State,13,4,9,.308,-3.69,-0.22,,0,1,,2,1,,1,7,,981,1026,,520,354,779,.454,64,217,.295,254,340,.747,143,490,158,110,64,131,214
15,Arkansas-Pine Bluff,13,5,8,.385,-17.73,3.71,,,,,4,1,,1,7,,1130,1161,,520,416,843,.493,119,342,.348,210,289,.727,150,500,261,92,55,179,223
16,Army,14,4,10,.286,-13.60,-7.60,,0,1,,3,4,,1,6,,847,876,,565,312,739,.422,87,280,.311,165,236,.699,104,467,165,107,46,166,212
17,Auburn,13,11,2,.846,19.25,1.10,,,,,7,0,,0,1,,1103,867,,520,290,747,.388,80,267,.300,207,278,.745,129,425,130,83,33,177,249
18,Austin Peay,15,7,8,.467,-5.48,0.44,,,,,5,1,,1,6,,1009,981,,600,339,810,.419,91,337,.270,212,299,.709,153,544,192,69,37,196,208
19,Ball State,13,8,5,.615,-6.55,-4.09,,0,1,,7,0,,1,4,,969,894,,520,333,730,.456,83,247,.336,145,205,.707,108,405,167,75,38,163,247
20,Baylor,13,11,2,.846,21.03,1.70,,,,,8,0,,0,0,,1159,901,,520,331,758,.437,78,248,.315,161,220,.732,129,373,166,88,47,174,260
21,Bellarmine,15,4,11,.267,-8.04,5.38,,,,,3,2,,1,9,,1027,1094,,600,402,892,.451,126,373,.338,164,228,.719,151,545,211,83,55,177,208
22,Belmont,14,9,5,.643,-1.23,0.24,,2,1,,5,0,,3,4,,1117,1102,,565,413,912,.453,111,355,.313,165,232,.711,159,517,220,103,42,177,236
23,Bethune-Cookman,13,5,8,.385,-14.81,-3.08,,,,,4,0,,1,6,,942,963,,520,309,723,.427,101,286,.353,244,338,.722,156,494,169,120,35,253,227
24,Binghamton,13,8,5,.615,-9.14,-4.87,,,,,6,0,,2,5,,985,922,,520,328,806,.407,108,320,.338,158,229,.690,135,445,155,88,56,133,230
25,Boise State,13,9,4,.692,11.57,6.12,,,,,7,0,,0,1,,986,853,,520,309,721,.429,75,239,.314,160,224,.714,100,395,141,72,44,162,231
26,Boston College,13,9,4,.692,9.07,1.61,,0,2,,6,2,,2,0,,1031,934,,525,336,780,.431,104,291,.357,158,202,.782,122,449,168,71,44,166,214
27,Boston University,14,5,9,.357,-8.58,-4.89,,0,1,,3,2,,2,7,,917,924,,560,314,746,.421,103,307,.336,193,277,.697,90,463,161,101,38,161,210
28,Bowling Green State,13,10,3,.769,-2.39,-6.03,,1,0,,7,1,,1,1,,980,871,,525,335,810,.414,83,259,.320,118,182,.648,122,469,138,86,46,166,245
29,Bradley,14,9,5,.643,4.98,1.60,,1,2,,5,2,,2,2,,1020,954,,570,327,812,.403,93,295,.315,207,294,.704,164,506,144,109,32,180,235
30,Brigham Young,13,12,1,.923,28.04,-0.80,,,,,9,0,,0,1,,1175,800,,520,308,766,.402,67,261,.257,117,176,.665,98,397,149,75,22,170,184
31,Brown,15,4,11,.267,-7.94,-3.08,,,,,2,3,,1,6,,1042,1069,,611,384,872,.440,110,317,.347,191,283,.675,131,534,197,97,62,185,281
32,Bryant,15,8,7,.533,-4.14,-0.14,,,,,4,1,,3,6,,1193,1150,,610,399,1016,.393,111,350,.317,241,354,.681,210,677,199,109,52,191,264
33,Bucknell,14,4,10,.286,-9.26,-0.90,,1,0,,2,4,,2,6,,875,992,,560,358,773,.463,118,334,.353,158,225,.702,130,458,215,96,46,151,226
34,Buffalo,13,2,11,.154,-12.34,-0.09,,1,0,,1,5,,1,4,,883,1024,,520,380,801,.474,101,295,.342,163,240,.679,131,452,209,116,44,142,206
35,Butler,14,10,4,.714,13.60,4.45,,1,2,,8,0,,0,3,,1151,1006,,580,383,912,.420,109,351,.311,131,197,.665,168,511,182,99,60,175,231
36,Cal Poly,14,4,10,.286,-11.61,-1.14,,0,2,,3,2,,0,7,,900,1018,,575,345,776,.445,92,261,.352,236,331,.713,162,535,154,86,46,174,262
37,Cal State Bakersfield,13,5,8,.385,-9.26,-0.62,,0,2,,4,1,,0,6,,905,919,,520,314,702,.447,97,269,.361,194,272,.713,137,439,166,62,34,168,211
38,Cal State Fullerton,14,8,6,.571,-6.55,0.20,,1,1,,4,1,,3,4,,949,950,,565,339,801,.423,100,315,.317,172,256,.672,154,504,178,93,47,191,259
39,Cal State Northridge,14,11,3,.786,-0.78,-7.78,,2,0,,5,1,,6,2,,1129,976,,560,325,841,.386,104,371,.280,222,314,.707,126,439,183,121,52,202,264
40,California,14,4,10,.286,1.98,3.98,,0,3,,4,4,,0,2,,1060,1088,,575,380,838,.453,118,319,.370,210,281,.747,126,471,175,94,43,156,237
41,California Baptist,13,8,5,.615,-1.43,-4.16,,1,1,,6,3,,2,2,,909,852,,520,317,737,.430,75,211,.355,143,202,.708,99,426,140,67,36,149,262
42,Campbell,13,6,7,.462,-10.90,-5.90,,,,,6,2,,0,5,,890,831,,525,301,731,.412,82,299,.274,147,204,.721,136,427,160,89,38,171,231
43,Canisius,12,6,6,.500,0.99,0.99,,1,1,,3,1,,1,4,,924,884,,480,326,744,.438,65,234,.278,167,250,.668,146,433,145,81,49,143,199
