Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Amir Abdur-Rahim,South Florida,AAC,,9,5,0.643,,,,,2023-24,9,5,0.643,,,,,,54,79,0.406,1.0,,,
Lennie Acuff,Lipscomb,A-Sun,,11,7,0.611,,,,,2019-20,76,67,0.531,,,,,,76,67,0.531,,,,
Griff Aldrich,Longwood,Big South,,13,6,0.684,,,,,2018-19,101,78,0.564,1.0,,,,,101,78,0.564,1.0,,,
Casey Alexander,Belmont,MVC,,11,6,0.647,,,,,2019-20,109,36,0.752,,,,,,246,156,0.612,1.0,,,
Steve Alford,Nevada,MWC,,15,2,0.882,,,,,2019-20,85,53,0.616,1.0,,,,,594,322,0.648,12.0,4.0,,
Dana Altman,Oregon,Pac-12,,13,3,0.812,,,,,2010-11,334,143,0.7,7.0,5.0,1.0,,,744,386,0.658,15.0,5.0,1.0,
Tommy Amaker,Harvard,Ivy,,9,6,0.6,,,,,2007-08,287,172,0.625,4.0,,,,,463,311,0.598,5.0,1.0,,
Tobin Anderson,Iona,MAAC,,7,9,0.438,,,,,2023-24,7,9,0.438,,,,,,28,25,0.528,1.0,,,
Adrian Autry,Syracuse,ACC,,12,5,0.706,,,,,2023-24,12,5,0.706,,,,,,12,5,0.706,,,,
Kevin Baggett,Rider,MAAC,,5,12,0.294,,,,,2012-13,182,178,0.506,,,,,,182,178,0.506,,,,
Jeremy Ballard,Florida International,CUSA,,7,11,0.389,,,,,2018-19,84,90,0.483,,,,,,84,90,0.483,,,,
Tony Barbee,Central Michigan,MAC,,8,9,0.471,,,,,2021-22,25,53,0.321,,,,,,156,180,0.464,1.0,,,
Rick Barnes,Tennessee,SEC,,13,4,0.765,9.0,,,,2015-16,188,96,0.662,5.0,2.0,,,,792,410,0.659,27.0,8.0,1.0,
Rod Barnes,Cal State Bakersfield,Big West,,5,11,0.312,,,,,2011-12,188,204,0.48,1.0,,,,,374,393,0.488,4.0,1.0,,
Brian Barone,SIU Edwardsville,OVC,,10,8,0.556,,,,,2019-20,57,83,0.407,,,,,,57,83,0.407,,,,
Chris Beard,Mississippi,SEC,,15,1,0.938,,,,,2023-24,15,1,0.938,,,,,,186,74,0.715,6.0,3.0,1.0,
John Becker,Vermont,AEC,,13,5,0.722,,,,,2011-12,293,118,0.713,5.0,,,,,293,118,0.713,5.0,,,
Randy Bennett,Saint Mary's (CA),WCC,,13,6,0.684,23.0,,,,2001-02,520,214,0.708,9.0,1.0,,,,520,214,0.708,9.0,1.0,,
Tony Bennett,Virginia,ACC,,11,5,0.688,,,,,2009-10,352,130,0.73,9.0,3.0,1.0,1.0,,421,163,0.721,11.0,4.0,1.0,1.0
Grant Billmeier,NJIT,AEC,,4,11,0.267,,,,,2023-24,4,11,0.267,,,,,,5,11,0.312,,,,
Kenneth Blakeney,Howard,MEAC,,8,11,0.421,,,,,2019-20,51,70,0.421,1.0,,,,,51,70,0.421,1.0,,,
Jeff Boals,Ohio,MAC,,8,9,0.471,,,,,2019-20,86,56,0.606,1.0,,,,,141,98,0.59,1.0,,,
Anthony Boone,Central Arkansas,A-Sun,,6,13,0.316,,,,,2019-20,40,86,0.317,,,,,,40,86,0.317,,,,
Chad Boudreau,Western Illinois,OVC,,12,6,0.667,,,,,2023-24,12,6,0.667,,,,,,12,6,0.667,,,,
Tad Boyle,Colorado,Pac-12,,12,5,0.706,,,,,2010-11,284,177,0.616,5.0,,,,,340,243,0.583,5.0,,,
Michael Boynton,Oklahoma State,Big 12,,8,9,0.471,,,,,2017-18,115,98,0.54,1.0,,,,,115,98,0.54,1.0,,,
Solomon Bozeman,Arkansas-Pine Bluff,SWAC,,6,10,0.375,,,,,2021-22,23,55,0.295,,,,,,23,55,0.295,,,,
Kevin Broadus,Morgan State,MEAC,,4,14,0.222,,,,,2019-20,61,69,0.469,,,,,,98,94,0.51,1.0,,,
Alvin Brooks,Lamar,Southland,,9,8,0.529,,,,,2021-22,20,57,0.26,,,,,,74,141,0.344,,,,
Brad Brownell,Clemson,ACC,,12,5,0.706,,,,,2010-11,253,182,0.582,3.0,1.0,,,,420,267,0.611,6.0,1.0,,
Shane Burcar,Northern Arizona,Big Sky,,7,10,0.412,,,,,2019-20,50,86,0.368,,,,,,50,86,0.368,,,,
Rashon Burno,Northern Illinois,MAC,,6,11,0.353,,,,,2021-22,28,51,0.354,,,,,,28,51,0.354,,,,
Landon Bussie,Alcorn State,SWAC,,2,14,0.125,,,,,2020-21,43,58,0.426,,,,,,43,58,0.426,,,,
Mark Byington,James Madison,Sun Belt,,15,2,0.882,,,,,2020-21,65,34,0.657,,,,,,196,131,0.599,,,,
Rick Cabrera,Northwestern State,Southland,,4,13,0.235,,,,,2023-24,4,13,0.235,,,,,,4,13,0.235,,,,
Jerrod Calhoun,Youngstown State,Horizon,,13,5,0.722,,,,,2017-18,109,101,0.519,,,,,,109,101,0.519,,,,
John Calipari *,Kentucky,SEC,,12,3,0.8,16.0,,,,2009-10,399,116,0.775,11.0,8.0,4.0,1.0,,844,256,0.767,22.0,15.0,6.0,1.0
Jeff Capel III *,Pittsburgh,ACC,,10,7,0.588,,,,,2018-19,85,88,0.491,1.0,,,,,260,198,0.568,4.0,1.0,,
Chris Caputo,George Washington,A-10,,14,3,0.824,,,,,2022-23,30,19,0.612,,,,,,30,19,0.612,,,,
Chris Casey,Fairfield,MAAC,,10,7,0.588,,,,,2023-24,10,7,0.588,,,,,,74,136,0.352,,,,
Jack Castleberry,Fairleigh Dickinson,NEC,,8,11,0.421,,,,,2023-24,8,11,0.421,,,,,,8,11,0.421,,,,
Patrick Chambers,Florida Gulf Coast,A-Sun,,7,12,0.368,,,,,2022-23,24,27,0.471,,,,,,214,205,0.511,1.0,,,
Nate Champion,Le Moyne,NEC,,6,11,0.353,,,,,2023-24,6,11,0.353,,,,,,6,11,0.353,,,,
Speedy Claxton,Hofstra,CAA,,8,9,0.471,,,,,2021-22,54,30,0.643,,,,,,54,30,0.643,,,,
Jase Coburn,Portland State,Big Sky,,11,6,0.647,,,,,2021-22,37,42,0.468,,,,,,37,42,0.468,,,,
Bill Coen,Northeastern,CAA,,7,10,0.412,,,,,2006-07,277,274,0.503,2.0,,,,,277,274,0.503,2.0,,,
Jon Coffman,Purdue Fort Wayne,Horizon,,13,5,0.722,,,,,2014-15,169,134,0.558,,,,,,169,134,0.558,,,,
Brian Collins,Tennessee State,OVC,,9,9,0.5,,,,,2018-19,72,96,0.429,,,,,,72,96,0.429,,,,
Chris Collins,Northwestern,Big Ten,,12,4,0.75,,,,,2013-14,168,166,0.503,2.0,,,,,168,166,0.503,2.0,,,
Ed Conroy,The Citadel,Southern,,8,9,0.471,,,,,2006-07,67,107,0.385,,,,,,159,210,0.431,,,,
Ed Cooley,Georgetown,Big East,,8,9,0.471,,,,,2023-24,8,9,0.471,,,,,,342,231,0.597,7.0,1.0,,
Donald Copeland,Wagner,NEC,,8,7,0.533,,,,,2022-23,23,20,0.535,,,,,,23,20,0.535,,,,
Ron Cottrell,Houston Christian,Southland,,3,12,0.2,,,,,2008-09,150,320,0.319,,,,,,150,320,0.319,,,,
Tim Craft,Gardner-Webb,Big South,,6,12,0.333,,,,,2013-14,177,162,0.522,1.0,,,,,177,162,0.522,1.0,,,
Jason Crafton,Maryland-Eastern Shore,MEAC,,4,11,0.267,,,,,2019-20,38,67,0.362,,,,,,38,67,0.362,,,,
Matt Crenshaw,IUPUI,Horizon,,5,14,0.263,,,,,2021-22,13,67,0.163,,,,,,13,67,0.163,,,,
Mick Cronin,UCLA,Pac-12,,7,10,0.412,,,,,2019-20,106,46,0.697,3.0,3.0,1.0,,,471,217,0.685,14.0,4.0,1.0,
Scott Cross,Troy,Sun Belt,,11,6,0.647,,,,,2019-20,71,70,0.504,,,,,,296,231,0.562,1.0,,,
Rick Croy,California Baptist,WAC,,10,7,0.588,,,,,2018-19,95,74,0.562,,,,,,95,74,0.562,,,,
Chris Crutchfield,Omaha,Summit,,10,9,0.526,,,,,2022-23,19,32,0.373,,,,,,19,32,0.373,,,,
Dan D'Antoni II,Marshall,Sun Belt,,9,9,0.5,,,,,2014-15,173,137,0.558,1.0,,,,,173,137,0.558,1.0,,,
Keith Dambrot,Duquesne,A-10,,9,7,0.562,,,,,2017-18,100,91,0.524,,,,,,425,264,0.617,3.0,,,
Scott Davenport,Bellarmine,A-Sun,,4,15,0.211,,,,,2020-21,53,54,0.495,,,,,,53,54,0.495,,,,
Hubert Davis,North Carolina,ACC,,13,3,0.812,19.0,,,,2021-22,62,26,0.705,1.0,1.0,1.0,,,62,26,0.705,1.0,1.0,1.0,
Mike Davis,Detroit Mercy,Horizon,,0,18,0.0,,,,,2018-19,59,106,0.358,,,,,,411,347,0.542,9.0,1.0,1.0,
Nathan Davis,New Hampshire,AEC,,9,7,0.562,,,,,2023-24,9,7,0.562,,,,,,138,122,0.531,2.0,,,
Johnny Dawkins Jr,Central Florida,Big 12,,10,5,0.667,,,,,2016-17,141,92,0.605,1.0,,,,,297,207,0.589,2.0,1.0,,
