Id,Year,Game,GameNum,Result
2024.W1,2024,W1,1,Game W1 - Purdue beats Eastern Kentucky by 9.947302810917176
2024.W2,2024,W2,2,Game W2 - Gonzaga beats Mississippi by 0.8067985443855242
2024.W3,2024,W3,3,Game W3 - Oklahoma beats McNeese State by 10.2563569348512
2024.W4,2024,W4,4,Game W4 - Marquette beats Samford by 10.517294547877958
2024.W5,2024,W5,5,Game W5 - Florida Atlantic beats Princeton by 8.18009143452156
2024.W6,2024,W6,6,Game W6 - Duke beats Vermont by 11.261446350876318
2024.W7,2024,W7,7,Game W7 - Ohio State beats Nevada by 6.013842957424959
2024.W8,2024,W8,8,Game W8 - Tennessee beats Troy by 11.537905861895958
2024.E1,2024,E1,9,Game E1 - Arizona beats South Dakota State by 12.208013349992306
2024.E2,2024,E2,10,Game E2 - St. John's (NY) beats Nebraska by 8.233607789425925
2024.E3,2024,E3,11,Game E3 - Memphis beats Drake by 11.200647256621814
2024.E4,2024,E4,12,Game E4 - San Diego State beats High Point by 12.21912368826395
2024.E5,2024,E5,13,Game E5 - Colorado State beats Grand Canyon by 6.468343164446406
2024.E6,2024,E6,14,Game E6 - Auburn beats Oakland by 14.125956288420214
2024.E7,2024,E7,15,Game E7 - Villanova beats Northwestern by 10.448892286831448
2024.E8,2024,E8,16,Game E8 - Kansas beats Eastern Washington by 12.403676691516772
2024.S1,2024,S1,17,Game S1 - Houston beats Merrimack by 21.675781352451718
2024.S2,2024,S2,18,Game S2 - Utah beats Mississippi State by 10.98038991899612
2024.S3,2024,S3,19,Game S3 - Clemson beats Oregon by 2.8960019653486726
2024.S4,2024,S4,20,Game S4 - Creighton beats Akron by 12.878340708915216
2024.S5,2024,S5,21,Game S5 - Dayton beats Colorado by 7.811747837145319
2024.S6,2024,S6,22,Game S6 - Kentucky beats Drexel by 17.19837111868336
2024.S7,2024,S7,23,Game S7 - Utah State beats Texas Tech by 3.415818237388617
2024.S8,2024,S8,24,Game S8 - Wisconsin beats Jacksonville State by 10.404131763897357
2024.MW1,2024,MW1,25,Game MW1 - Connecticut beats Southern by 21.940764545350817
2024.MW2,2024,MW2,26,Game MW2 - Michigan State beats Texas A&M by 7.477727206684151
2024.MW3,2024,MW3,27,Game MW3 - Brigham Young beats Saint Mary's (CA) by 4.007141834767609
2024.MW4,2024,MW4,28,Game MW4 - Baylor beats UC Irvine by 15.975668056942993
2024.MW5,2024,MW5,29,Game MW5 - Alabama beats Cincinnati by 8.465050287213547
2024.MW6,2024,MW6,30,Game MW6 - Illinois beats Morehead State by 8.119201713138766
2024.MW7,2024,MW7,31,Game MW7 - Iowa State beats Providence by 19.40376507424845
2024.MW8,2024,MW8,32,Game MW8 - North Carolina beats Saint Peter's by 11.174837357750476
2024.W9,2024,W9,33,Game W9 - Purdue beats Gonzaga by 8.21216279677714
2024.W10,2024,W10,34,Game W10 - Marquette beats Oklahoma by 0.8820007509060716
2024.W11,2024,W11,35,Game W11 - Florida Atlantic beats Duke by 1.7420028080809358
2024.W12,2024,W12,36,Game W12 - Tennessee beats Ohio State by 4.307742649990434
2024.E9,2024,E9,37,Game E9 - Arizona beats St. John's (NY) by 14.11161166291675
2024.E10,2024,E10,38,Game E10 - San Diego State beats Memphis by 4.404095695268815
2024.E11,2024,E11,39,Game E11 - Auburn beats Colorado State by 0.7870778711194654
2024.E12,2024,E12,40,Game E12 - Kansas beats Villanova by 1.8471500469223532
2024.S9,2024,S9,41,Game S9 - Houston beats Utah by 22.362435013990513
2024.S10,2024,S10,42,Game S10 - Creighton beats Clemson by 7.108581162095701
2024.S11,2024,S11,43,Game S11 - Dayton beats Kentucky by 1.6434136340725287
2024.S12,2024,S12,44,Game S12 - Wisconsin beats Utah State by 4.155505175184543
2024.MW9,2024,MW9,45,Game MW9 - Connecticut beats Michigan State by 1.564616759174563
2024.MW10,2024,MW10,46,Game MW10 - Brigham Young beats Baylor by 4.641619382812482
2024.MW11,2024,MW11,47,Game MW11 - Alabama beats Illinois by 13.343757279698131
2024.MW12,2024,MW12,48,Game MW12 - Iowa State beats North Carolina by 3.964478273801147
2024.W13,2024,W13,49,Game W13 - Purdue beats Marquette by 13.614425744905251
2024.W14,2024,W14,50,Game W14 - Tennessee beats Florida Atlantic by 0.24272171265094683
2024.E13,2024,E13,51,Game E13 - Arizona beats San Diego State by 11.403953453832388
2024.E14,2024,E14,52,Game E14 - Auburn beats Kansas by 5.788498687833991
2024.S13,2024,S13,53,Game S13 - Houston beats Creighton by 20.63790114522561
2024.S14,2024,S14,54,Game S14 - Wisconsin beats Dayton by 10.74303979556521
2024.MW13,2024,MW13,55,Game MW13 - Brigham Young beats Connecticut by 6.667922154644491
2024.MW14,2024,MW14,56,Game MW14 - Alabama beats Iowa State by 10.974072432854257
2024.W15,2024,W15,57,Game W15 - Purdue beats Tennessee by 18.553724623393798
2024.E15,2024,E15,58,Game E15 - Arizona beats Auburn by 10.076512568122066
2024.S15,2024,S15,59,Game S15 - Houston beats Wisconsin by 13.059225065290583
2024.MW15,2024,MW15,60,Game MW15 - Brigham Young beats Alabama by 0.5859599948615016
2024.F1,2024,F1,61,Game F1 - Purdue beats Arizona by 0.3095524699166836
2024.F2,2024,F2,62,Game F2 - Houston beats Brigham Young by 18.846711018629858
2024.Final,2024,Final,63,Game Final - Houston beats Purdue by 8.764337191814418
